,abstract/snippet,lead_paragraph,headline,keywords,pub_date,document_type,section_name,type_of_material
0,"Michelle Bachelet, the United Nations human rights chief, condemned the conditions faced by migrant children at the border, urging Washington to “consider the damage being done every day.”","GENEVA — The United Nations human rights chief, Michelle Bachelet, condemned on Monday how the United States is treating migrant children arriving from Mexico, saying she was “shocked” at the conditions they faced in detention centers when they crossed the border.",U.N. Rights Head ‘Shocked’ by Treatment of Migrant Children at U.S. Border,"United Nations;Bachelet, Michelle;Family Separation Policy (US Immigration);Human Rights and Human Rights Violations;Immigration and Emigration;Illegal Immigration;Immigration Detention;Refugees and Displaced Persons",2019-07-08,article,World,News
0,"At his record label, Mr. Renner created carefully engineered classical and jazz recordings that were beloved by audiophiles.","Jack Renner, who with Robert Woods founded Telarc, a record label whose carefully engineered recordings were prized by audiophiles and won dozens of Grammy Awards — 11 of them for him personally — died on June 19 at his home in Portsmouth, R.I. He was 84.","Jack Renner, Recording Master and a Founder of Telarc, Dies at 84","Renner, Jack (1935-2019);Telarc;Audio Recordings, Downloads and Streaming;Recording Equipment;Classical Music;Deaths (Obituaries)",2019-07-08,article,Arts,Obituary (Obit)
0,Many Los Angeles residents thought the ShakeAlertLA app on their phones should have given warning. Officials said the system had worked as designed — but promised some changes.,Los Angeles residents were not pleased last week when a pair of earthquakes struck and the ShakeAlertLA app on their phones did just what it was supposed to do: nothing.,Californians’ Alert Apps Didn’t Sound for 2 Big Earthquakes. Why Not?,Earthquakes;Security and Warning Systems;United States Geological Survey;California;Los Angeles (Calif);Mobile Applications,2019-07-08,article,U.S.,News
0,"Sought out by the White House and the State Department, she stressed the importance of ethics in policymaking and of heeding one’s conscience.","WASHINGTON — Janne E. Nolan, an expert on international affairs and arms-control issues who advised politicians and diplomats and lamented the reluctance of skeptics to speak out against policies they believed to be wrong, died on June 26 in Washington. She was 67.","Janne E. Nolan, Principled Adviser on World Affairs, Is Dead at 67","NOLAN, JANNE E;United States International Relations;United States Politics and Government;Nuclear Weapons;Deaths (Obituaries);Ethics and Official Misconduct",2019-07-08,article,U.S.,Obituary (Obit)
0,Judge James Troiano’s comments sparked a nationwide outcry; now he's receiving threats and being called upon to resign.,[What you need to know to start the day: Get New York Today in your inbox.],Judge Gets Threats After Saying Teenager in Rape Case Was From ‘Good Family’,"Decisions and Verdicts;Sex Crimes;Child Abuse and Neglect;Juvenile Delinquency;Family Courts;TROIANO, JAMES;Cedar Grove (NJ)",2019-07-08,article,New York,News
0,Here’s what you need to know at the end of the day.,(Want to get this briefing by email? Here’s the sign-up.) ,"Environment, Jeffrey Epstein, Coco Gauff: Your Monday Evening Briefing",,2019-07-08,article,Briefing,briefing
0,Law officials and store owners across the country are wrestling with how to stop a flurry of copycat videos made by people committing the same crime.,"It all started with a video of a teenage girl licking a carton of Blue Bell ice cream in a store — and then putting it back on the shelf. The video, which went viral under the hashtag #icecreamchallenge, grossed out a nation and struck fear in the hearts of ice cream lovers everywhere.",A Man Licked a Carton of Ice Cream for a Viral Internet Challenge. Now He’s in Jail.,"Martin, Lenise Lloyd III;Ice Cream and Frozen Desserts;Video Recordings, Downloads and Streaming;Prisons and Prisoners;Supermarkets and Grocery Stores;Blue Bell Creameries LP;Louisiana",2019-07-08,article,U.S.,News
0,The revival of Terrence McNally’s play is wrapping up a month earlier than expected.,"“Frankie and Johnny in the Clair de Lune,” Terrence McNally’s two-hander about wounded romantics in a one-night stand, will close on July 28, producers announced on Monday.",‘Frankie and Johnny’ Will Close at the End of July,"Theater;Arbus, Arin;McDonald, Audra;McNally, Terrence;Shannon, Michael;Warden, Claire;FRANKIE AND JOHNNY IN THE CLAIR DE LUNE (PLAY)",2019-07-08,article,Theater,News
0,Every betrayal seems to profit the president and his friends.,"Is it cruelty, or is it corruption? That’s a question that comes up whenever we learn about some new, extraordinary abuse by the Trump administration — something that seems to happen just about every week. And the answer, usually, is “both.”",Trump and the Merchants of Detention,"United States Politics and Government;Immigration Detention;Prisons and Prisoners;Immigration and Emigration;Privatization;Republican Party;Trump, Donald J",2019-07-08,article,Opinion,Op-Ed
0,The attorney general also acknowledged that career lawyers who had worked on the case had little appetite to continue after the president inserted himself into the issue.,"EDGEFIELD, S.C. — President Trump and Attorney General William P. Barr began working to find a way to place a citizenship question on the 2020 census just after the Supreme Court blocked its inclusion last month, Mr. Barr said on Monday, adding that he believes that the administration can find a legal path to incorporating the question.","Barr Says Legal Path to Census Citizenship Question Exists, but He Gives No Details","United States Politics and Government;Census;Citizenship and Naturalization;Census Bureau;Justice Department;Republican Party;Barr, William P;Trump, Donald J",2019-07-08,article,U.S.,News
